id	filename	md5	size	state
03894a0a-426d-49ef-82ae-dcc53217fefc	9a5fda4f-c1c8-4ea5-bcc3-dffc9e70ae5f.mirbase21.mirnas.quantification.txt	6847081c2ad36bc5f34779342fc71e98	50355	released
1a5a3b98-aeb0-44d6-8f6a-91316ad64ca4	jhu-usc.edu_BLCA.HumanMethylation450.13.lvl-3.TCGA-BT-A42E-01A-11D-A23V-05.gdc_hg38.txt	c92216c6a46a4bcc219caddedf9f0ff3	141284354	released
a626b6b0-c9bb-45e8-8a07-cfeb859c111b	jhu-usc.edu_BLCA.HumanMethylation450.10.lvl-3.TCGA-FD-A3NA-01A-11D-A21B-05.gdc_hg38.txt	61448c4345dcfa659ee1a081e691a5e2	141297775	released
0b2cbc97-8b6a-43a8-b1e7-60b0fb3955b1	8d65dbc2-fb70-40c1-aed9-b46144c1a156.mirbase21.mirnas.quantification.txt	b6115562e730ddead58143b4fca905ba	50458	released
ce63011f-a524-47fa-b59e-4bf82da96ebb	jhu-usc.edu_BLCA.HumanMethylation450.1.lvl-3.TCGA-BT-A0S7-01A-11D-A10W-05.gdc_hg38.txt	009b4eefc4253b9aca7a05e88b83cf97	141298177	released
3bfe604b-c183-4135-9a9a-102e20767311	87bed1c7-0f8e-4415-ad1a-12feecb2e56a.FPKM-UQ.txt.gz	d5b83ee214d3b7c78e635abf8797840c	482204	released
60d70900-f4cf-425d-9610-74751a30075e	jhu-usc.edu_BLCA.HumanMethylation450.9.lvl-3.TCGA-G2-A3VY-01A-11D-A231-05.gdc_hg38.txt	e09a327c18656800ed31ebb507c21769	141310734	released
c807dd46-ce10-49ff-a1fb-3f4f4ccd7c12	jhu-usc.edu_BLCA.HumanMethylation450.11.lvl-3.TCGA-GC-A3RB-01A-12D-A223-05.gdc_hg38.txt	1e8806504fd8dbd12c53a21ad0cefcb7	141308517	released
41781ef2-4b3d-4c1e-8150-ab79933cfe63	jhu-usc.edu_BLCA.HumanMethylation450.5.lvl-3.TCGA-H4-A2HO-01A-11D-A17Y-05.gdc_hg38.txt	d9f999d67d473f6d38c338132f32c633	141290032	released
d21756e7-702d-4e4b-9d9a-5a12f61fbcad	jhu-usc.edu_BLCA.HumanMethylation450.22.lvl-3.TCGA-XF-A9SI-01A-11D-A392-05.gdc_hg38.txt	7d29464da345fbc0d4f34866537607bf	141280994	released
ea9aa392-f630-4931-9d7a-44601513cd1d	8738c36b-b87d-4482-a5d3-cd0977faa314.mirbase21.mirnas.quantification.txt	ac70c6ad9bbc84d252f9b1dd8d6b2be9	50339	released
622fffe8-632e-4bb2-8eff-652f39a850d2	63eee5ed-417c-41cb-bdcf-7635b42e2246.FPKM-UQ.txt.gz	2ee08d49c1be767efb54ac2e59b98b10	534051	released
0c42981e-ef6d-489c-9cbf-ff93eb653889	b1aec3cf-8260-4a8d-a980-b7409815ac6a.mirbase21.mirnas.quantification.txt	c7858e8e7f2b78938819150d1ecc473d	50343	released
b7643413-703f-4716-8b53-ec58f1a22984	1dc10cee-ec11-4083-bba9-0c6e79445b42.FPKM-UQ.txt.gz	397434d0e0a60bf077d300e8d0c14ab1	536578	released
c308178c-c00f-4adf-9276-6abcb586729a	4ee8b7b0-2261-4ce8-8160-4b7c6847da45.mirbase21.mirnas.quantification.txt	342fd6ed938a4785ea4cf9e7597f443f	50397	released
1accd598-4c5e-4df5-a7bc-292cb285985a	542816b6-6954-484f-9c1d-33bad3ecc0af.mirbase21.mirnas.quantification.txt	7088c4dd4a7f290e081a0102c3290527	50322	released
6f7c95c9-f4c9-452e-87b6-d33d42b8add7	a8de898e-5e41-44b4-98b7-373a67a28ae8.mirbase21.mirnas.quantification.txt	9cfb8f0ee3d7cccf0d3142d17cb34b3d	50287	released
c70687ea-264a-442a-b472-a859b17c4d1a	ac7e6389-9eca-4a8b-ba59-f284eaa2c55f.mirbase21.mirnas.quantification.txt	1dfcee67706cd389520361d9769a17c0	50420	released
d951d06b-435a-4fd5-8e54-906f384aa666	c2cc4c19-ace6-4e6f-a1d2-18ddf29de194.FPKM-UQ.txt.gz	dfeb8f76bf7f0eb5de62f55d332c48a3	526104	released
89b58ac6-a85a-4d56-ac3f-ea7c1b76c295	6d617c73-500a-413a-88b6-009279650294.mirbase21.mirnas.quantification.txt	08043eba89999002959d5ed3e34e40ed	49914	released
827bacb7-49c2-4ce9-9cf5-6d21d290aec8	3893a3ce-8554-4de1-9070-4ad443e4fa03.FPKM-UQ.txt.gz	1264f53fb4b398cf864bbb3f474f0246	497872	released
19e53e7e-1065-4454-a2bc-e1788be74a56	30d33e0d-c983-4ee2-9ef7-aba934b8c2e9.FPKM-UQ.txt.gz	01f8fefc9f0dacc72ff388ade762f285	520326	released
3e5438b1-2fb0-4391-a859-9b656ed0d9e4	jhu-usc.edu_BLCA.HumanMethylation450.13.lvl-3.TCGA-CF-A47X-01A-31D-A23V-05.gdc_hg38.txt	49172014982fad7f746ba05a64b5d2bd	141308569	released
